id,anchor_ts_ms,hedge_ts_ms,market_slug,market_duration,direction,first_ask,second_ask,executable_qty,pair_cost,net_edge_005
141488,1789801421779,1789801436809,btc-updown-5m-1789801200,5m,DOWN->UP,0.13,0.88,224.55,1.01,-0.01500000000000001
141604,1789801452262,1789801482053,btc-updown-5m-1789801200,5m,DOWN->UP,0.01,0.999,7.0,1.009,-0.013999999999999898
141642,1789801482053,1789801497130,btc-updown-5m-1789801200,5m,DOWN->UP,0.002,0.999,1.0,1.001,-0.00599999999999989
141702,1789801497642,1789801512702,btc-updown-5m-1789801200,5m,DOWN->UP,0.01,0.5,24.68,0.51,0.485
144434,1789802332385,1789802347461,btc-updown-5m-1789802100,5m,DOWN->UP,0.02,0.99,441.0,1.01,-0.01500000000000001
144494,1789802347818,1789802362854,btc-updown-5m-1789802100,5m,DOWN->UP,0.02,0.99,422.0,1.01,-0.01500000000000001
144554,1789802363147,1789802378159,btc-updown-5m-1789802100,5m,DOWN->UP,0.02,0.99,321.3,1.01,-0.01500000000000001
144612,1789802378795,1789802393837,btc-updown-5m-1789802100,5m,DOWN->UP,0.02,0.99,128.8,1.01,-0.01500000000000001
144670,1789802394792,1789802409810,btc-updown-5m-1789802100,5m,DOWN->UP,0.02,0.31,15.0,0.33,0.6649999999999999
147798,1789803252089,1789803267142,btc-updown-5m-1789803000,5m,DOWN->UP,0.02,0.99,365.93,1.01,-0.01500000000000001
147858,1789803267765,1789803282791,btc-updown-5m-1789803000,5m,DOWN->UP,0.02,0.99,320.65,1.01,-0.01500000000000001
147918,1789803283589,1789803298598,btc-updown-5m-1789803000,5m,DOWN->UP,0.02,0.95,232.64,0.97,0.025000000000000026
147978,1789803298886,1789803313915,btc-updown-5m-1789803000,5m,DOWN->UP,0.06,0.45,108.37,0.51,0.485
150046,1789803840968,1789803855981,btc-updown-5m-1789803600,5m,DOWN->UP,0.07,0.95,176.59,1.02,-0.02500000000000002
150106,1789803856815,1789803871850,btc-updown-5m-1789803600,5m,DOWN->UP,0.06,0.95,57.0,1.01,-0.01500000000000001
150166,1789803872444,1789803887459,btc-updown-5m-1789803600,5m,DOWN->UP,0.06,0.96,28.57,1.02,-0.02500000000000002
150208,1789803888167,1789803903194,btc-updown-5m-1789803600,5m,DOWN->UP,0.05,0.49,34.65,0.54,0.45499999999999996
151898,1789804338110,1789804353130,btc-updown-5m-1789804200,5m,DOWN->UP,0.11,0.9,100.83,1.01,-0.01500000000000001
151958,1789804353466,1789804368518,btc-updown-5m-1789804200,5m,DOWN->UP,0.11,0.91,127.81,1.02,-0.02500000000000002
152018,1789804368957,1789804383964,btc-updown-5m-1789804200,5m,DOWN->UP,0.1,0.91,374.46,1.01,-0.01500000000000001
